code,facility_uuid,district_name,Directorate_name,facility_name,facility_type_name,Total User Count,User Login Count,Registration Count,Lab Order Count,Admission Count,Total Department Count,Total Active Department Count,Total Doctor Count,Login Doctor Count,Total Nurse Count,Login Nurse Count
MCH001,1,Chennai,Directorate of Medical Education (DME),Govt Stanley Medical College and Hospital,MCH,106,102,56916,750,15749,127,35,56,33,15,3
MCH002,2,Chennai,Directorate of Medical Education (DME),Rajiv Gandhi Govt General Hospital,MCH,1743,1607,269815,23453,99529,138,45,970,160,621,21
MCH003,3,Chennai,Directorate of Medical Education (DME),Govt. Kilpauk Medical College Hospital,MCH,742,533,199741,25422,34156,131,34,420,142,188,54
MCH004,4,Chennai,Directorate of Medical Education (DME),Govt. Medical College Omandurar Govt. Est.,MCH,416,400,87582,25781,16001,122,41,110,50,197,8
MCH005,5,Coimbatore,Directorate of Medical Education (DME),Coimbatore Medl College Hospital MCH,MCH,106,104,118934,13057,2114,119,39,3,3,1,3
MCH006,6,Coimbatore,Directorate of Medical Education (DME),Esi Govt. Medical College Hospital,MCH,17,9,1,0,0,108,1,3,0,1,0
MCH007,7,Dharmapuri,Directorate of Medical Education (DME),Dharmapuri Medl Coll Hospital MCH,MCH,693,679,173224,49468,29797,111,50,185,133,280,14
MCH008,8,Erode,Directorate of Medical Education (DME),Government Erode Medical College & Hospital,MCH,452,446,2007,2422,0,110,5,148,22,185,0
MCH009,9,Chengalpattu,Directorate of Medical Education (DME),Chengalpattu Medical College Hospital,MCH,243,237,138298,29403,7536,108,41,228,141,1,3
MCH010,10,Kanyakumari,Directorate of Medical Education (DME),Kanyakumari Government Medical College & Hospital ,MCH,677,672,56025,95743,2997,108,41,253,15,343,7
MCH011,11,Karur,Directorate of Medical Education (DME),Karur MCH,MCH,17,13,2602,1311,1186,108,8,3,3,1,2
MCH012,12,Madurai,Directorate of Medical Education (DME),Govt Rajaji Hospital Madurai MCH,MCH,21,14,24981,194,2,158,19,3,2,1,1
MCH013,13,Pudukkottai,Directorate of Medical Education (DME),Pudukkottai MCH,MCH,432,424,83691,32386,3836,111,38,139,8,223,2
MCH014,14,Salem,Directorate of Medical Education (DME),Govt. Mohan Kumaramangalam Medl College Hospital Salem MCH,MCH,615,607,212267,120136,50191,109,50,212,183,210,11
MCH015,15,Sivagangai,Directorate of Medical Education (DME),Sivaganga  MCH,MCH,506,500,157736,131492,20198,109,35,145,25,262,3
MCH016,16,Thanjavur,Directorate of Medical Education (DME),Thanjavur Medl College Hospital MCH,MCH,589,585,155455,93895,1157,110,44,310,104,154,3
MCH017,17,Theni,Directorate of Medical Education (DME),Theni Medl Coll Hopsital MCH,MCH,430,424,65478,30689,1000,112,38,135,85,237,2
MCH018,18,Thiruvarur,Directorate of Medical Education (DME),Thiruvarur Medl College Hospital MCH,MCH,261,255,154616,49236,134,108,32,84,32,68,4
MCH019,19,Thiruchirappalli,Directorate of Medical Education (DME),Annal Gandhi Memorial Hospital Trichy MCH,MCH,31,22,113446,30015,25364,108,44,16,6,1,3
MCH020,20,Tirunelveli,Directorate of Medical Education (DME),Tirunelveli Medl College Hospital MCH,MCH,1013,1008,143449,159263,15164,120,54,260,156,588,3
MCH021,21,Tiruvannamalai,Directorate of Medical Education (DME),Thiruvannamalai MCH,MCH,672,666,166624,48401,36086,108,37,265,32,284,13
MCH022,22,Thoothukudi,Directorate of Medical Education (DME),Thoothukudi Medical College Hosptial MCH,MCH,682,676,81008,56786,753,109,21,171,12,241,3
MCH023,23,Vellore,Directorate of Medical Education (DME),Vellore Medical College Hospital,MCH,19,13,91026,18751,1737,108,38,3,3,1,3
MCH024,24,Villupuram,Directorate of Medical Education (DME),Villupuram Medical College Hospital,MCH,503,498,25195,30312,1495,107,15,150,13,285,7
DHQ001,25,Ariyalur,Directorate of Medical and Rural Health Services(DMS),Ariyalur DHQ,DHQ,15,11,29,0,10,79,1,3,1,1,1
DHQ002,26,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Pollachi-DHQ,DHQ,142,134,66438,65521,3449,79,11,37,9,81,4
DHQ003,27,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Cuddalore-DHQ,DHQ,327,320,360,9,0,79,3,85,1,131,0
DHQ004,28,Dharmapuri,Directorate of Medical and Rural Health Services(DMS),Pennagaram-DHQ,DHQ,94,89,94792,60371,2438,79,28,25,29,43,2
DHQ005,29,Dindigul,Directorate of Medical and Rural Health Services(DMS),Govt.Dist.HQ.Hospital Dindigul ,DHQ,15,7,103,101,0,79,3,3,1,1,0
DHQ006,30,Erode,Directorate of Medical and Rural Health Services(DMS),Erode-DHQ,DHQ,297,293,50228,6358,6049,79,24,84,14,162,5
DHQ007,31,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Kancheepuram-DHQ,DHQ,227,219,131567,1266,363,80,26,80,23,111,3
DHQ008,32,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Padhmanabapuram-DHQ,DHQ,96,89,21220,16310,73,79,12,36,8,42,1
DHQ009,33,Karur,Directorate of Medical and Rural Health Services(DMS),Kulithalai-DHQ,DHQ,86,79,41372,4522,170,79,11,15,17,38,3
DHQ010,34,Krishnagiri,Directorate of Medical and Rural Health Services(DMS),Government medical college and hospital Krishnagiri,DHQ,23,15,24390,18367,1743,82,35,3,4,1,1
DHQ011,35,Madurai,Directorate of Medical and Rural Health Services(DMS),Usilampatti-DHQ,DHQ,215,209,53122,19161,2756,80,26,34,11,84,1
DHQ012,36,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Nagapattinam-DHQ,DHQ,18,11,997,12,779,79,3,3,2,1,1
DHQ013,37,Namakkal,Directorate of Medical and Rural Health Services(DMS),Govt.Dist.HQ.Hospital Namakkal,DHQ,15,7,2279,3606,301,79,8,3,3,1,2
DHQ014,38,TheNilgiris,Directorate of Medical and Rural Health Services(DMS),Govt Medical College Hospital Nilgiris MCH,DHQ,15,6,15077,45260,247,79,6,3,4,1,2
DHQ015,39,Perambalur,Directorate of Medical and Rural Health Services(DMS),Perambalur-DHQ,DHQ,210,203,22715,680,10,79,11,74,4,90,1
DHQ016,40,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Aranthangi-DHQ,DHQ,100,93,34158,1993,91,79,10,27,21,52,2
DHQ017,41,Ramanathapuram,Directorate of Medical and Rural Health Services(DMS),Govt.Dist.HQ.Hospital Ramanathapuram,DHQ,19,9,21689,414,155,79,8,3,3,1,2
DHQ018,42,Salem,Directorate of Medical and Rural Health Services(DMS),Mettur Dam-DHQ,DHQ,128,122,40942,49643,2212,80,17,3,17,54,3
DHQ019,43,Sivagangai,Directorate of Medical and Rural Health Services(DMS),Karaikudi-DHQ,DHQ,108,100,45549,5014,5945,79,17,5,14,60,2
DHQ020,44,Thanjavur,Directorate of Medical and Rural Health Services(DMS),Kumbakonam-DHQ,DHQ,192,184,54512,8227,138,79,37,48,25,94,2
DHQ021,45,Theni,Directorate of Medical and Rural Health Services(DMS),Periakulam-DHQ,DHQ,179,173,49754,11248,3035,83,33,37,31,107,8
DHQ022,46,Tiruvallur,Directorate of Medical Education (DME),Government Medical College and Hospital Thiruvallur,MCH,16,9,1173,623,500,79,6,3,3,1,1
DHQ023,47,Thiruvarur,Directorate of Medical and Rural Health Services(DMS),Mannargudi-DHQ,DHQ,131,123,89574,55832,6195,79,16,32,14,58,6
DHQ024,48,Thiruchirappalli,Directorate of Medical and Rural Health Services(DMS),Manapparai-DHQ,DHQ,126,117,24037,5666,2109,79,9,39,5,47,2
DHQ025,49,Tirunelveli,Directorate of Medical and Rural Health Services(DMS),Tenkasi-DHQ,DHQ,140,132,44329,32434,258,79,11,39,12,72,2
DHQ026,50,Tiruppur,Directorate of Medical and Rural Health Services(DMS),Tiruppur-DHQ,DHQ,18,10,26,6,10,79,2,3,3,1,0
