gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
25,Ariyalur,Andimadam,120,120,0,2,0,1,1,0,1,1
25,Ariyalur,Kadugur,228,228,0,2,0,1,1,0,0,1
25,Ariyalur,Kallan Kurichy,516,516,0,1,0,0,1,0,0,1
25,Ariyalur,Kumuliam,152,152,0,2,0,1,1,0,1,1
25,Ariyalur,Manakkal,39,39,0,1,0,0,1,0,0,1
25,Ariyalur,Meensurutty,47,40,7,2,0,1,1,0,1,1
25,Ariyalur,Poyyathanallur,12,12,0,1,0,0,1,0,0,1
25,Ariyalur,Poyyur,663,663,0,1,0,0,1,0,0,1
25,Ariyalur,Sundakudi,28,28,0,1,0,0,1,0,0,1
25,Ariyalur,T.Palur,63,63,0,2,0,1,1,0,1,1
25,Ariyalur,Tirumanur,161,161,0,2,0,1,1,0,1,1
25,Ariyalur,Vilangudi,10,10,0,1,0,0,1,0,0,1
29,Chennai,State Public Health Laboratory,3,3,0,4,0,2,2,0,2,2
5,Coimbatore,Aliarnagar,253,253,0,1,0,0,1,0,0,0
5,Coimbatore,Anamalai,3,3,0,0,0,0,0,0,0,0
5,Coimbatore,Arisipalayam,240,240,0,2,0,1,1,0,1,1
5,Coimbatore,Chandrapuram,46,46,0,2,0,1,1,0,1,1
5,Coimbatore,Dhaliyur,82,82,0,2,0,1,1,0,1,1
5,Coimbatore,Kaliyapuram,505,505,0,1,0,0,1,0,0,0
5,Coimbatore,Kanjampatti,584,509,75,2,0,1,1,0,1,1
5,Coimbatore,Karamadai,398,398,0,2,0,1,1,0,1,1
5,Coimbatore,Mudisnagar,12,12,0,0,0,0,0,0,0,0
5,Coimbatore,Nallattipalayam,459,432,27,2,0,2,0,0,2,0
5,Coimbatore,Negamam,166,166,0,2,0,1,1,0,1,1
5,Coimbatore,Periapodu,12,12,0,2,0,1,1,0,1,1
5,Coimbatore,Pethanaickanur,1,1,0,0,0,0,0,0,0,0
5,Coimbatore,Pogalur,27,26,1,2,0,1,1,0,1,1
5,Coimbatore,Pollachi-DHQ,2011,2011,0,0,0,0,0,0,0,0
5,Coimbatore,Pooluvapatty,2,2,0,2,0,1,1,0,1,1
5,Coimbatore,S.S.Kulam,21,20,1,2,0,1,1,0,1,1
5,Coimbatore,Sethumadai,6,6,0,1,0,0,1,0,0,1
5,Coimbatore,Sholaiarnagar,12,12,0,0,0,0,0,0,0,0
5,Coimbatore,Somanur,47,38,9,2,0,1,1,0,1,1
5,Coimbatore,Topslip,89,87,2,0,0,0,0,0,0,0
15,Cuddalore,Ayankudi,488,488,0,2,0,1,1,0,1,1
15,Cuddalore,Cuddalore-DHQ,1,1,0,0,0,0,0,0,0,0
15,Cuddalore,Kammapuram,167,167,0,2,0,1,1,0,1,1
15,Cuddalore,Krishnapuram,92,92,0,2,0,1,1,0,1,1
15,Cuddalore,Mangalampettai,62,62,0,2,0,1,1,0,1,1
15,Cuddalore,Mangalore,191,189,2,2,0,1,1,0,0,1
15,Cuddalore,Marungur,568,568,0,2,0,1,1,0,1,1
15,Cuddalore,Muttam,193,193,0,2,0,1,1,0,1,0
15,Cuddalore,Naduveerapattu,12,12,0,2,0,1,1,0,1,1
15,Cuddalore,Nallur,162,162,0,2,0,1,1,0,0,0
15,Cuddalore,Oraiyur,25,25,0,2,0,1,1,0,0,1
15,Cuddalore,Orathur,76,76,0,2,0,1,1,0,1,1
15,Cuddalore,Pudupalayam Uhp,38,38,0,0,0,0,0,0,0,0
15,Cuddalore,Sivakkam,229,229,0,2,0,1,1,0,1,1
15,Cuddalore,Srimushnam,14,14,0,2,0,1,1,0,0,1
15,Cuddalore,Srineduncheri,193,193,0,1,0,0,1,0,0,1
15,Cuddalore,Vadalore,127,127,0,2,0,1,1,0,1,1
15,Cuddalore,Veeranandhapuram,39,39,0,0,0,0,0,0,0,0
6,Dharmapuri,B.Mallapuram,2929,2929,0,1,0,1,0,0,1,0
6,Dharmapuri,Begarahalli,714,714,0,1,0,0,1,0,0,1
6,Dharmapuri,D.Thurinjippatti,118,118,0,2,0,1,1,0,1,1
6,Dharmapuri,Eriyur,23,23,0,2,0,1,1,0,1,1
6,Dharmapuri,Hanumanthapuram,2003,2003,0,2,0,1,1,0,1,0
6,Dharmapuri,Jakkasamuthiram,539,535,4,2,0,1,1,0,1,1
6,Dharmapuri,Kadathur,1,1,0,2,0,1,1,0,1,1
6,Dharmapuri,Karimangalam,454,454,0,2,0,1,1,0,1,1
6,Dharmapuri,Marandahalli,468,468,0,2,0,1,1,0,1,1
6,Dharmapuri,Palayampudur,504,504,0,1,0,1,0,0,1,0
6,Dharmapuri,Pennagaram-DHQ,202,202,0,3,0,1,2,0,1,0
6,Dharmapuri,Periyampatti,1160,1160,0,2,0,1,1,0,1,1
6,Dharmapuri,Theerthamalai,7007,7007,0,2,0,1,1,0,1,1
23,Dindigul,Ammayanaickanur,559,559,0,2,0,1,1,0,1,1
23,Dindigul,Ayyalur,145,145,0,0,0,0,0,0,0,0
23,Dindigul,Chinnalapatty,213,213,0,2,0,1,1,0,1,1
23,Dindigul,Dindigul-DHQ,3,3,0,0,0,0,0,0,0,0
23,Dindigul,Eriodu,22,22,0,2,0,1,1,0,0,1
23,Dindigul,Gujiliamparai,116,116,0,2,0,1,1,0,1,1
23,Dindigul,K.Keeranur,1515,1515,0,2,0,1,1,0,1,1
23,Dindigul,Kanappadi,388,388,0,0,0,0,0,0,0,0
23,Dindigul,Kannivadi,1905,1905,0,2,0,1,1,0,1,1
23,Dindigul,Kosavapatty,2952,2952,0,2,0,1,1,0,1,1
23,Dindigul,Mannavanur,219,219,0,2,0,1,1,0,0,0
23,Dindigul,Mattaparai,572,572,0,1,0,0,1,0,0,1
23,Dindigul,Narikkalpatti,8,8,0,2,0,1,1,0,1,0
23,Dindigul,Pappampatti,199,192,7,2,0,1,1,0,1,1
23,Dindigul,Pilathur,21,21,0,1,0,0,1,0,0,1
23,Dindigul,S.Thummalapatty,187,186,1,1,0,0,1,0,0,0
23,Dindigul,Sakkanaickenur,319,319,0,1,0,0,1,0,0,1
23,Dindigul,Sirunaickenpatty,357,357,0,1,0,0,1,0,0,1
23,Dindigul,Thadicombu,674,674,0,2,0,1,1,0,1,1
23,Dindigul,Uluppagudi,535,535,0,2,0,1,1,0,1,1
23,Dindigul,Vadamadurai,40,24,16,2,0,1,1,0,1,1
23,Dindigul,Viruveedu,12,11,1,2,0,1,1,0,1,1
19,Erode,Athani,3173,3173,0,2,0,1,1,0,0,1
19,Erode,Chennimalai,48,48,0,2,0,1,1,0,1,1
19,Erode,Chitthode,70,69,1,2,0,1,1,0,1,1
19,Erode,Erode-DHQ,197,197,0,0,0,0,0,0,0,0
19,Erode,Geermalam,16,16,0,1,0,0,1,0,0,1
19,Erode,Guruvareddyur,85,85,0,2,0,1,1,0,1,1
19,Erode,Hongalvady,361,361,0,1,0,0,1,0,0,1
19,Erode,Jambai,50,50,0,2,0,1,1,0,1,1
19,Erode,Modakkurichi,85,85,0,2,0,1,1,0,1,1
19,Erode,Nambiyur,6,6,0,2,0,1,1,0,1,1
19,Erode,P.Puliampatti,41,41,0,2,0,1,1,0,1,1
19,Erode,Painapuram,1,1,0,1,0,0,1,0,0,1
19,Erode,Siruvalur,1546,1546,0,2,0,1,1,0,1,1
19,Erode,Sivagiri,8,8,0,2,0,1,1,0,1,1
19,Erode,Susaipuram,14,14,0,1,0,0,1,0,0,1
19,Erode,T.N.Palayam,338,338,0,2,0,1,1,0,1,1
19,Erode,Talavady,44,44,0,2,0,1,1,0,0,1
19,Erode,Thingalur,395,395,0,2,0,1,1,0,1,1
19,Erode,Ukkaram,8,8,0,2,0,1,1,0,1,1
27,Chengalpattu,Acharapakkam,66,66,0,2,0,1,1,0,1,1
27,Chengalpattu,Chunampet,179,179,0,2,0,1,1,0,1,1
32,Kancheepuram,Elichur,492,492,0,0,0,0,0,0,0,0
32,Kancheepuram,Kancheepuram-DHQ,2,2,0,2,0,1,1,0,1,1
27,Chengalpattu,Kelambakkam,111,111,0,2,0,1,1,0,1,1
32,Kancheepuram,Maduramangalam,29,29,0,2,0,1,1,0,0,1
32,Kancheepuram,Manampathi,393,384,9,3,0,1,2,0,0,2
27,Chengalpattu,Medavakkam,1133,1133,0,2,0,1,1,0,1,1
32,Kancheepuram,Molachur,146,146,0,1,0,0,1,0,0,1
27,Chengalpattu,Nandivaram,47,22,25,2,0,1,1,0,0,1
32,Kancheepuram,Panrutti,35,35,0,1,0,0,1,0,0,1
32,Kancheepuram,Parandur,20,20,0,2,0,1,1,0,1,1
32,Kancheepuram,Pavinjur,54,54,0,2,0,1,1,0,0,1
27,Chengalpattu,Sadras,2,2,0,2,0,1,1,0,0,1
27,Chengalpattu,Sembakkam,8,8,0,1,0,0,1,0,0,0
27,Chengalpattu,Sirunkundram,44,44,0,1,0,0,1,0,0,1
32,Kancheepuram,Thiruppukkuzhi,371,371,0,2,0,1,1,0,1,1
32,Kancheepuram,Vallam,355,355,0,1,0,0,1,0,0,1
27,Chengalpattu,Zamin Endathur,533,533,0,2,0,1,1,0,1,0
7,Kanyakumari,Agasteeswaram,457,457,0,2,0,1,1,0,1,1
7,Kanyakumari,Aralvoimozhi,147,81,66,1,0,0,1,0,0,1
7,Kanyakumari,Arudesam,124,114,10,2,0,1,1,0,1,1
7,Kanyakumari,Arumanalloor,176,169,7,0,0,0,0,0,0,0
7,Kanyakumari,Edaicode,17,17,0,2,0,1,1,0,1,1
7,Kanyakumari,Killiyoor,3,3,0,2,0,1,1,0,1,1
7,Kanyakumari,Kothanallur,1,1,0,2,0,1,1,0,1,1
7,Kanyakumari,Kuttakuzhi,30,30,0,2,0,1,1,0,1,1
7,Kanyakumari,Muttom,898,898,0,2,0,1,1,0,1,1
7,Kanyakumari,Padhmanabapuram-DHQ,38,31,7,3,1,1,1,0,1,0
7,Kanyakumari,Padmanabhapuram Uphc,205,205,0,0,0,0,0,0,0,0
7,Kanyakumari,Rajakkamangalm,44,44,0,2,0,1,1,0,1,1
7,Kanyakumari,Thadikkarankonam,32,32,0,2,0,1,1,0,0,0
7,Kanyakumari,Thovalai,553,552,1,2,0,1,1,0,1,1
1,Karur,Chinadarapuram,109,109,0,2,0,1,1,0,1,1
1,Karur,Easanatham,2041,2041,0,1,0,0,1,0,0,1
1,Karur,Innungur,1806,1806,0,2,0,1,1,0,1,1
1,Karur,Kaniyalampatti,789,789,0,2,0,1,1,0,1,1
1,Karur,Kulithalai-DHQ,37,18,19,2,0,2,0,0,2,0
1,Karur,Kurmbapatti,517,516,1,1,0,0,1,0,0,1
1,Karur,Malaikovilur,950,950,0,2,0,1,1,0,1,1
1,Karur,Panjapatti,30,30,0,2,0,1,1,0,1,1
1,Karur,Thogamalai,1166,1166,0,2,0,1,1,0,1,1
1,Karur,Uppidamangalam,1925,1925,0,2,0,1,1,0,1,1
1,Karur,Vangal,1689,1688,1,2,0,1,1,0,1,1
24,Krishnagiri,Athimugam,283,283,0,1,0,0,1,0,0,1
24,Krishnagiri,Bagalur,506,506,0,2,0,1,1,0,0,1
24,Krishnagiri,Barur,537,537,0,2,0,1,1,0,1,1
24,Krishnagiri,Berigai,212,212,0,1,0,0,1,0,0,1
24,Krishnagiri,Jagadevi,167,167,0,2,0,1,1,0,1,1
24,Krishnagiri,Kakkadasam,41,41,0,2,0,1,1,0,0,1
24,Krishnagiri,Kamandoddi,95,95,0,1,0,0,1,0,0,1
24,Krishnagiri,Kelamangalam,1080,1080,0,2,0,1,1,0,0,1
24,Krishnagiri,Krishnagiri-DHQ,72,67,5,2,0,1,1,0,1,1
24,Krishnagiri,M.C.Palli,341,341,0,2,0,1,1,0,1,1
24,Krishnagiri,Samalpatti,277,277,0,2,0,1,1,0,1,1
24,Krishnagiri,Shoolagiri - Chc Gr.I,7,7,0,2,0,1,1,0,1,1
24,Krishnagiri,Singarapettai,302,302,0,2,0,1,1,0,1,1
24,Krishnagiri,Uthanapalli,186,186,0,1,0,0,1,0,0,1
24,Krishnagiri,Veppanapalli,2,2,0,2,0,1,1,0,0,1
10,Madurai,Alanganallur,357,357,0,2,0,1,1,0,1,1
10,Madurai,Checkanurani,525,525,0,2,0,1,1,0,1,1
10,Madurai,Chellampatti,424,424,0,2,0,1,1,0,1,1
10,Madurai,Doddappanaickanur,152,152,0,2,0,1,1,0,1,1
10,Madurai,Elumalai,943,943,0,2,0,1,1,0,1,1
10,Madurai,Kallendiri,18,18,0,2,0,1,1,0,1,1
10,Madurai,Kalligudi,97,97,0,2,0,1,1,0,1,1
10,Madurai,Karungalakudi,42,41,1,2,0,1,1,0,0,1
10,Madurai,Katchakatti,393,393,0,2,0,1,1,0,1,1
10,Madurai,Samayanallur,582,582,0,2,0,1,1,0,0,1
10,Madurai,Saptur,17,17,0,1,0,0,1,0,0,1
10,Madurai,Sedapatti,87,87,0,1,0,0,1,0,0,1
10,Madurai,T.Kallupatti,3090,3087,3,2,0,1,1,0,1,1
10,Madurai,T.Ramanathapuram,7,7,0,1,0,0,1,0,0,1
10,Madurai,Usilampatti-DHQ,925,796,129,2,0,1,1,0,1,1
10,Madurai,Valayankulam,167,167,0,2,0,1,1,0,1,1
10,Madurai,Vellalore,30,30,0,2,0,1,1,0,1,1
38,Mayiladuthurai,Akkur,149,149,0,2,0,1,1,0,1,1
37,Nagapattinam,Ayyakkaranpulam,125,125,0,1,0,0,1,0,0,0
38,Mayiladuthurai,Kali,366,366,0,2,0,1,1,0,1,1
37,Nagapattinam,Kariyapattinam,262,262,0,2,0,1,1,0,1,1
37,Nagapattinam,Kodiyakkarai,166,166,0,0,0,0,0,0,0,0
38,Mayiladuthurai,Konerirajapuram,292,292,0,2,0,1,1,0,1,0
37,Nagapattinam,Nagapattinam-DHQ,3,1,2,2,0,1,1,0,1,1
38,Mayiladuthurai,Nallur,456,456,0,2,0,1,1,0,1,1
37,Nagapattinam,Thalanayar,288,288,0,2,0,1,1,0,1,1
37,Nagapattinam,Thethagudi,4,4,0,1,0,0,1,0,0,0
37,Nagapattinam,Thevur,259,259,0,2,0,1,1,0,1,1
37,Nagapattinam,Thirumarugal,515,515,0,2,0,1,1,0,0,1
37,Nagapattinam,Thirupoondi,433,433,0,1,0,1,0,0,1,0
38,Mayiladuthurai,Thiruvengadu,438,438,0,2,0,1,1,0,0,1
37,Nagapattinam,Vadugacheri,213,213,0,1,0,1,0,0,1,0
37,Nagapattinam,Voimedu,278,278,0,1,0,0,1,0,0,1
2,Namakkal,Belukurichi,253,227,26,2,0,1,1,0,1,1
2,Namakkal,Elandaikuttai,3,3,0,2,0,1,1,0,1,1
2,Namakkal,Erayamangalam,428,428,0,2,0,1,1,0,1,1
2,Namakkal,Ernapuram,9,9,0,2,0,1,1,0,1,1
2,Namakkal,Erumaipatti,446,439,7,2,0,1,1,0,1,1
2,Namakkal,Kabilarmalai,150,150,0,2,0,1,1,0,1,1
2,Namakkal,Mallasamudram,73,65,8,2,0,1,1,0,0,1
2,Namakkal,Manickampalayam,26,26,0,2,0,1,1,0,0,1
2,Namakkal,Nallur CHC,347,347,0,2,0,1,1,0,1,1
2,Namakkal,Namagiripettai,91,89,2,2,0,1,1,0,1,1
2,Namakkal,Namakkal-DHQ,123,123,0,4,1,1,2,1,1,0
2,Namakkal,O Sowdapuram,207,176,31,2,0,1,1,0,1,1
2,Namakkal,Palapatti,3,3,0,0,0,0,0,0,0,0
2,Namakkal,Pillanallur,24,24,0,2,0,1,1,0,1,1
2,Namakkal,Powerkadu,17,15,2,0,0,0,0,0,0,0
2,Namakkal,Solakkadu,33,33,0,2,0,2,0,0,1,0
2,Namakkal,Thenurpatty,12,8,4,0,0,0,0,0,0,0
2,Namakkal,Vinaitheerthapuram,208,208,0,2,0,1,1,0,1,1
3,Perambalur,Ammapalayam,401,401,0,2,0,1,1,0,1,1
3,Perambalur,Athiyur,180,180,0,1,0,0,1,0,0,1
3,Perambalur,Kolakanatham,9,9,0,2,0,1,1,0,1,1
