District,DATE,OB_INWARD
AZAMGARH,"2022-05-06",156
AMETHI,"2022-05-06",6
AGRA,"2022-05-05",45
SIDDHARTHNAGAR,"2022-05-05",79
FATEHPUR,"2022-05-06",2
GORAKHPUR,"2022-05-06",1
AYODHYA,"2022-05-05",28
BARA BANKI,"2022-05-06",415
SIDDHARTHNAGAR,"2022-05-06",74
AYODHYA,"2022-05-06",33
BARA BANKI,"2022-05-04",29
BARA BANKI,"2022-05-05",368
PRATAPGARH,"2022-05-06",27
PRATAPGARH,"2022-05-05",8
PRAYAGRAJ,"2022-05-06",2570
PRAYAGRAJ,"2022-05-02",159
SITAPUR,"2022-05-05",19
PRAYAGRAJ,"2022-05-05",4287
BAGHPAT,"2022-05-06",2
PRAYAGRAJ,"2022-05-04",2631
HAPUR,"2022-05-06",13
SIDDHARTHNAGAR,"2022-05-03",2
GORAKHPUR,"2022-05-04",4
PRAYAGRAJ,"2022-05-03",686
SONBHADRA,"2022-05-06",1
PRAYAGRAJ,"2022-04-30",57
LUCKNOW,"2022-05-02",669
LUCKNOW,"2022-04-29",1740
BAREILLY,"2022-05-03",1
LUCKNOW,"2022-04-30",2233
LUCKNOW,"2022-05-01",1443
BASTI,"2022-05-05",8
PRAYAGRAJ,"2022-05-01",115
SITAPUR,"2022-05-06",2
PILIBHIT,"2022-05-05",1
BANDA,"2022-05-04",22
BANDA,"2022-05-05",19
LUCKNOW,"2022-04-28",559
SANT KABIR NAGAR,"2022-05-05",23
AGRA,"2022-04-30",18
KAUSHAMBI,"2022-05-04",235
KAUSHAMBI,"2022-05-03",60
KAUSHAMBI,"2022-05-02",47
SANT KABIR NAGAR,"2022-05-06",18
BASTI,"2022-05-04",9
KAUSHAMBI,"2022-04-30",3
KAUSHAMBI,"2022-05-05",338
AGRA,"2022-05-06",40
BANDA,"2022-05-06",7
FIROZABAD,"2022-05-06",2
KANPUR NAGAR,"2022-05-05",99
KANPUR NAGAR,"2022-05-04",63
KANPUR NAGAR,"2022-05-01",47
KAUSHAMBI,"2022-05-06",146
BASTI,"2022-05-06",2
KANPUR DEHAT,"2022-05-06",46
AGRA,"2022-05-02",14
LUCKNOW,"2022-04-27",511
KANPUR NAGAR,"2022-05-02",39
LUCKNOW,"2022-04-25",1
LUCKNOW,"2022-04-24",1
BANDA,"2022-05-03",13
VARANASI,"2022-05-05",1
KANPUR NAGAR,"2022-04-30",41
AGRA,"2022-05-01",11
KANPUR NAGAR,"2022-05-06",430
JALAUN ,"2022-05-03",2
LUCKNOW,"2022-05-03",124
LALITPUR,"2022-05-03",1
MAINPURI,"2022-05-05",1
FIROZABAD,"2022-05-04",2
KAUSHAMBI,"2022-05-01",3
LUCKNOW,"2022-05-06",53
LUCKNOW,"2022-05-04",76
KANPUR NAGAR,"2022-05-03",14
LALITPUR,"2022-05-06",4
FIROZABAD,"2022-05-05",1
LUCKNOW,"2022-04-26",114
UNNAO,"2022-05-02",3772
UNNAO,"2022-05-05",7384
UNNAO,"2022-05-04",7767
UNNAO,"2022-05-01",6946
ALIGARH,"2022-05-05",5
KHERI,"2022-05-06",6
LUCKNOW,"2022-05-05",98
SANT KABIR NAGAR,"2022-05-04",1
UNNAO,"2022-04-30",1458
UNNAO,"2022-05-03",3339
UNNAO,"2022-05-06",4951
MAU,"2022-05-04",1
ALIGARH,"2022-05-06",15
KANPUR DEHAT,"2022-05-01",6
KANPUR DEHAT,"2022-04-30",11
ALIGARH,"2022-05-04",14
KANPUR DEHAT,"2022-05-04",12
ETAWAH,"2022-05-06",1
KANPUR DEHAT,"2022-05-05",14
CHANDAULI,"2022-05-04",2
CHANDAULI,"2022-05-05",8
AGRA,"2022-05-04",1
KHERI,"2022-05-04",3
MAU,"2022-05-02",3
MATHURA,"2022-05-03",2
HARDOI,"2022-05-05",17
HARDOI,"2022-05-04",14
HARDOI,"2022-05-06",5
KANPUR DEHAT,"2022-05-02",3
ETAWAH,"2022-05-04",1
MAU,"2022-05-03",6
MATHURA,"2022-05-05",1
VARANASI,"2022-05-04",2
MAU,"2022-05-06",2
MATHURA,"2022-05-04",1
BALLIA,"2022-05-04",4
RAE BARELI,"2022-05-04",2
RAE BARELI,"2022-05-05",1
BALLIA,"2022-05-05",2
JHANSI,"2022-05-04",1
BAREILLY,"2022-05-06",13
BULANDSHAHAR,"2022-05-05",24
FARRUKHABAD,"2022-05-05",4
GONDA,"2022-05-01",1
CHITRAKOOT,"2022-05-04",20
CHITRAKOOT,"2022-05-05",26
CHITRAKOOT,"2022-05-06",38
GHAZIABAD,"2022-05-06",1
GORAKHPUR,"2022-05-05",3
CHITRAKOOT,"2022-05-03",2
MUZAFFARNAGAR,"2022-05-05",6
DEORIA,"2022-05-04",1
GONDA,"2022-05-06",3
GONDA,"2022-05-05",2
GONDA,"2022-04-30",1
