District,shopId,user_name,shop_name,last_login_time,last_tp_ack_date,last_ob_date,last_sold_date
Agra,"10003","10003",( 10003) NEW AGRA BYPASS ( HOTEL LOTUS SE SRK MALL TAK)-(A),,,,
Agra,"10004","10004",( 10004) WATER WORKS (CHAURAHE KE AASPAS ),,,,
Gonda,"10009","10009",( 10009) BICHIYADAD CHAURAHA,,,,
Agra,"10011","10011",( 10011) SULTANGANJ,,,,
Agra,"10012","10012",( 10012) SIKANDRA,,,,
Gonda,"10014","10014",( 10014) TAYARWAN,,,,
Gonda,"10026","10026",( 10026) SIKRI,"2022-05-01 17:38:41.0",,,
Gonda,"10028","10028",( 10028) FUTHIYA,,,,
Gonda,"10048","10048",( 10048) NATAURI,,,,
Gonda,"10050","10050",( 10050) BAGDARGARNT,,,,
Gonda,"10069","10069",( 10069) KOAT KHAS,"2022-04-30 21:30:40.0",,,
Gonda,"10071","10071",( 10071) KASBAKHAS,,,,
Gonda,"10090","10090",( 10090) SITARAMPUR GRANT,,,,
Gonda,"10093","10093",( 10093) DAULATPUR GRANT,,,,
Gonda,"10108","10108",( 10108) ANDHIYARI,,,,
Gonda,"10110","10110",( 10110) KATI TIRAHA NAWABGANJ,,,,
Lucknow,"10193","10193",( 10193) JANPATH,"2022-04-25 14:43:53.0",,,
Agra,"10243","10243",( 10243) T.P NAGAR-(A),,,,
Agra,"10283","10283",( 10283) T.P. NAGAR BUSADDA,,,,
Agra,"10311","10311",( 10311) KAMLA NAGAR (VIKAS MARKET KE AASPASS),,,,
Gonda,"10341","10341",( 10341) NAWABGANJ GHANTAGHAR,,,,
Gonda,"10349","10349",( 10349) SHIVDAYALGANJ,,,,
Gonda,"10374","10374",( 10374) TARABGANJ,,,,
Gonda,"10388","10388",( 10388) PARSADA,,,,
Gonda,"10399","10399",( 10399) BELSAR,,,,
Gonda,"10416","10416",( 10416) BAKHIYAPUR TRIMUHANI,,,,
Gonda,"10429","10429",( 10429) AZAD NAGAR,,,,
Gonda,"10448","10448",( 10448) PAKADI BAZAR,,,,
Gonda,"10449","10449",( 10449) DURJANPUR GHAT-(A),,,,
Gonda,"10458","10458",( 10458) NAGWA,,,,
Gonda,"10460","10460",( 10460) DUMARIYA DEEH,,,,
Agra,"10489","10489",( 10489) JAMUNA PAR-(A),,,,
Agra,"10510","10510",( 10510) PURANAPUL JAMUNAPAR-(A),,,,
Gonda,"10524","10524",( 10524) WAZEERGANJ,,,,
Agra,"10532","10532",( 10532) NUNIHAI,,,,
Gonda,"10537","10537",( 10537) BALESHWARGANJ,,,,
Agra,"10552","10552",( 10552) PRAKASH NAGAR,,,,
Gonda,"10555","10555",( 10555) TURKADEEH,,,,
Gonda,"10556","10556",( 10556) MAHARAJGANJ,,,,
Agra,"10575","10575",( 10575) DHULIYA GANJ-(A),,,,
Gonda,"10583","10583",( 10583) SONAULI MOHAMADPUR,,,,
Gonda,"10587","10587",( 10587) DIKSIR,,,,
Agra,"10593","10593",( 10593) JIWANI MANDI-(A),,,,
Agra,"10613","10613",( 10613) MASTA KI BAGICHI-(A),,,,
Gonda,"10616","10616",( 10616) ATTAISHA CHAURAHA,,,,
Gonda,"10627","10627",( 10627) SHIVAGANJ,,,,
Agra,"10629","10629",( 10629) FREE GANJ,,,,
Gonda,"10642","10642",( 10642) UMARI BEGUMGANJ,,,,
Gonda,"10645","10645",( 10645) UMARI BAZAR,,,,
Agra,"10646","10646",( 10646) PILAKHAR,,,,
Gonda,"10655","10655",( 10655) AKAUNI,,,,
Agra,"10657","10657",( 10657) VINOD VIHAR,,,,
Gonda,"10661","10661",( 10661) AMDAHI BANDHA,,,,
Agra,"10664","10664",( 10664) SHOBHA NAGAR,,,,
Gonda,"10671","10671",( 10671) BARAULI,,,,
Gonda,"10674","10674",( 10674) PATHARI BAZAR,,,,
Agra,"10676","10676",( 10676) SUSHIL NAGAR,,,,
Gonda,"10687","10687",( 10687) GANGRAULI,,,,
Gonda,"10688","10688",( 10688) MADHAVPUR,,,,
Agra,"10690","10690",( 10690) TILAK NAGAR JALESAR ROAD (100 MTR. KI PARIDHI),"2022-05-02 13:06:59.0",,,
Gonda,"10712","10712",( 10712) COLONEGANJ GHANTAGHAR,,,,
Agra,"10715","10715",( 10715) KALINDI VIHAR 80 FOOTA ROADOOTA,,,,
Gonda,"10716","10716",( 10716) COLONELGANJ BUS STAND,,,,
Agra,"10724","10724",( 10724) NAWAL GANJ-(A),,,,
Gonda,"10728","10728",( 10728) KATRA BAZAR,,,,
Gonda,"10732","10732",( 10732) PANDEYPURWA,,,,
Agra,"10740","10740",( 10740) GADI CHANDNI,,,,
Agra,"10751","10751",( 10751) SHAHDARA CHUNGI-(A),,,,
Gonda,"10755","10755",( 10755) CHUNTIPUR GHAT,,,,
Gonda,"10756","10756",( 10756) SEMARA,,,,
Agra,"10769","10769",( 10769) NAGLA KISHAN LAL HATHRAS ROAD,,,,
Gonda,"10770","10770",( 10770) MADRAHWA CHAURAHA,,,,
Gonda,"10771","10771",( 10771) RAMAPUR GHAT,,,,
Gonda,"10781","10781",( 10781) JAMTHRA,,,,
Gonda,"10783","10783",( 10783) DUBAHA BAZAR,,,,
Agra,"10789","10789",( 10789) HATHRAS RAOD NO.-01,,,,
Gonda,"10798","10798",( 10798) SEHARIYAKALA,,,,
Gonda,"10802","10802",( 10802) NARAYANPUR KALAN,,,,
Agra,"10804","10804",( 10804) HATHRAS RAOD NO.-02,"2022-05-02 12:54:43.0",,,
Gonda,"10814","10814",( 10814) RAIPUR,,,,
Gonda,"10817","10817",( 10817) BABAGANJ-2,,,,
Agra,"10820","10820",( 10820) RAMBAAG CHAURAHA (100 MTR. KI PARIDHI),,,,
Agra,"10833","10833",( 10833) TEDHI BAGIYA,"2022-05-02 13:06:59.0",,,
Gonda,"10836","10836",( 10836) BANDRE BABA,,,,
Gonda,"10839","10839",( 10839) KOTIYA MADARA,,,,
Agra,"10847","10847",( 10847) TRANS YAMUNA COLONY,,,,
Gonda,"10858","10858",( 10858) BIKARWA,,,,
Gonda,"10863","10863",( 10863) KHAN CHAURAHA,,,,
Agra,"10868","10868",( 10868) MANDI SAMITI BYPASS,,,,
Gonda,"10876","10876",( 10876) SELARYI MANDAP,,,,
Gonda,"10878","10878",( 10878) KATUA NALA,,,,
Gonda,"10884","10884",( 10884) BALPUR,,,,
Gonda,"10886","10886",( 10886) CHAURI,,,,
Gonda,"10908","10908",( 10908) CHCHRI,,,,
Gonda,"10912","10912",( 10912) BHAMBHUA,,,,
Gonda,"10924","10924",( 10924) PATISA,,,,
Gonda,"10925","10925",( 10925) MAIJAPUR,,,,
Gonda,"10940","10940",( 10940) BHULIYAPUR,,,,
Gonda,"10943","10943",( 10943) GAURA MANJHA,,,,
Gonda,"10948","10948",( 10948) PANDEY CHAURAHA,,,,
Gonda,"10951","10951",( 10951) SONAHARA CHAURAHA,,,,
Gonda,"10967","10967",( 10967) DURAUNI CHAURAHA,,,,
Agra,"10968","10968",( 10968) RAJA MANDI-(A),,,,
Gonda,"10970","10970",( 10970) RAMGARH,,,,
Gonda,"10974","10974",( 10974) REWARI,,,,
Gonda,"10987","10987",( 10987) KHARTHARI,,,,
Agra,"10989","10989",( 10989) LOHA MANDI,,,,
Gonda,"10998","10998",( 10998) PANDRIYA,,,,
Gonda,"10999","10999",( 10999) CHARSADI,,,,
Agra,"11006","11006",( 11006) BODLA,,,,
Gonda,"11009","11009",( 11009) KUTUBPUR,,,,
Gonda,"11010","11010",( 11010) SARYU BARGADI-(A),,,,
Agra,"11019","11019",( 11019) JAGDISHPURA,"2022-05-02 13:14:13.0",,,
Gonda,"11022","11022",( 11022) SAKRAURA,,,,
Gonda,"11023","11023",( 11023) KANJEMAU,,,,
Agra,"11029","11029",( 11029) KALWARI MARG,,,,
Agra,"11044","11044",( 11044) AWAS VIKAS ROAD (SATYAM PLAZA WALI GALI MOD SE CENTRAL JAIL KI GALI MOD TAK)-(A),,,,
Gonda,"11062","11062",( 11062) SHAHPUR,,,,
Gonda,"11063","11063",( 11063) PARASPUR,,,,
